# frame timestamp, TTL timestamp
532176413315,532176447773
532176446630,532176485253
532176479947,532176514584
532176513263,532176547832
532176546579,532176581035
532176579894,532176614083
532176613228,532176651742
532176646532,532176681118
532176679842,532176714207
532176713158,532176747603
532176746474,532176780994
532176779790,532176818447
532176813106,532176847724
532176846422,532176881171
532176879738,532176914278
532176913054,532176947553
532176946370,532176982825
532176979686,532177013426
532177013002,532177049501
532177046319,532177080927
532177079634,532177114105
532177112950,532177152621
532177146266,532177179965
532177179582,532177213356
532177212918,532177249309
532177246215,532177279903
532177279530,532177315966
532177312847,532177347245
532177346161,532177380017
532177379477,532177413271
532177412794,532177446505
532177446113,532177482320
532177479426,532177513260
532177512741,532177546536
532177546057,532177579810
532177579373,532177613030
532177612689,532177648851
532177646007,532177679729
532177679321,532177713066
532177712637,532177746413
532177745953,532177779644
532177779269,532177815447
532177812586,532177846277
532177845901,532177879625
532177879217,532177912790
532177912533,532177945807
532177945848,532177982039
532177979165,532178012967
532178012480,532178046236
532178045796,532178079668
532178079113,532178112584
532178112428,532178148491
532178145746,532178181149
532178179061,532178212779
532178212376,532178245999
532178245692,532178279690
532178279008,532178315163
532178312325,532178345876
532178345640,532178382096
532178378956,532178412690
532178412272,532178446103
532178445588,532178484347
532178478904,532178512582
532178512220,532178545940
532178545536,532178579285
532178578852,532178612582
532178612168,532178648313
532178645486,532178679225
532178678800,532178712552
532178712116,532178745854
532178745432,532178779228
532178778767,532178815485
532178812064,532178845529
532178845379,532178879976
532178878695,532178913222
532178912011,532178946540
532178945327,532178985205
532178978644,532179012266
532179011959,532179045568
532179045275,532179080437
532179078591,532179113082
532179111907,532179150393
532179145225,532179179838
532179178539,532179213020
532179211855,532179246463
532179245171,532179279815
532179278487,532179316881
532179311804,532179346128
532179345119,532179379393
532179378435,532179417079
532179411752,532179446315
532179445067,532179483637
532179478383,532179513670
532179511699,532179546178
532179545015,532179579810
532179578331,532179614581
532179611647,532179647775
532179644963,532179681418
532179678278,532179712654
532179711595,532179746066
532179744911,532179779583
532179778226,532179815338
532179811542,532179845814
532179844859,532179879281
532179878174,532179912540
532179911491,532179945962
532179944806,532179983377
532179978122,532180012427
532180011438,532180045921
532180044754,532180078911
532180078070,532180112582
532180111386,532180148430
532180144703,532180179202
532180178018,532180212228
532180211340,532180245698
532180244650,532180279041
532180277966,532180313984
532180311283,532180345054
532180344598,532180378191
532180377913,532180412185
532180411230,532180445658
532180444545,532180483088
532180477862,532180512114
532180511177,532180545753
532180544493,532180578898
532180577809,532180611969
532180611128,532180649708
532180644443,532180678997
532180677758,532180712076
532180711073,532180746564
532180744389,532180778841
532180777705,532180816402
532180811022,532180849539
532180844338,532180878929
532180877653,532180912106
532180910986,532180945707
532180944285,532180982850
532180977602,532181011363
532181010917,532181044647
532181044233,532181077843
532181077548,532181111984
532181110865,532181151916
532181144181,532181178771
532181177497,532181211763
532181210814,532181245380
532181244129,532181278538
532181277444,532181315908
532181310760,532181345182
532181344077,532181378555
532181377392,532181411684
532181410708,532181445353
532181444024,532181482530
532181477340,532181513552
532181510656,532181544302
532181543973,532181577676
532181577288,532181615976
532181610604,532181647549
532181643920,532181678409
532181677236,532181712037
532181710552,532181744188
532181743868,532181777627
532181777184,532181814656
532181810501,532181845230
532181843816,532181878792
532181877132,532181913626
532181910448,532181944107
532181943763,532181982354
532181977080,532182013527
532182010396,532182043312
532182043711,532182078665
532182077027,532182110094
532182110343,532182146298
532182143660,532182177450
532182176976,532182210706
532182210293,532182243990
532182243608,532182277317
532182276924,532182313029
532182310239,532182343762
532182343555,532182377197
532182376871,532182412728
532182410187,532182444532
532182443503,532182481990
532182476819,532182511280
532182510135,532182544525
532182543451,532182577946
532182576767,532182611363
532182610083,532182647076
532182643399,532182677838
532182676715,532182711162
532182710030,532182744550
532182743347,532182777783
532182776692,532182816868
532182809978,532182843623
532182843294,532182876998
532182876614,532182910343
532182909926,532182944490
532182943243,532182981747
532182976559,532183011029
532183009875,532183044251
532183043190,532183077661
532183076506,532183114747
532183109823,532183146791
532183143139,532183177595
532183176454,532183211092
532183209770,532183243477
532183243086,532183276733
532183276402,532183315291
532183309718,532183344198
532183343034,532183377474
532183376350,532183410812
532183409666,532183444151
532183442982,532183481538
532183476298,532183512474
532183509619,532183543238
532183542930,532183576643
532183576246,532183609932
532183609562,532183646537
532183642878,532183677436
532183676194,532183710582
532183709510,532183743928
532183742826,532183777293
532183776142,532183814696
532183809458,532183843236
532183842773,532183876515
532183876089,532183910046
532183909406,532183940746
532183942720,532183973384
532183976036,532184005121
532184009352,532184038607
532184042668,532184071872
532184075984,532184105193
532184109300,532184140023
532184142616,532184171602
532184175934,532184204998
532184209248,532184238504
532184242564,532184271758
532184275880,532184306390
532184309196,532184338426
532184342517,532184371473
532184375827,532184404890
532184409144,532184438384
532184442459,532184473082
532184475776,532184504756
532184509091,532184540551
532184542408,532184571388
532184575723,532184604788
532184609039,532184653295
532184642356,532184676786
532184675672,532184710225
532184708988,532184747409
532184742305,532184776437
532184775620,532184814340
532184808937,532184843764
532184842253,532184875992
532184875568,532184909196
532184908884,532184946707
532184942201,532184980717
532184975517,532185010064
532185008832,532185047309
532185042149,532185075712
532185075464,532185109029
532185108780,532185145204
532185142096,532185176591
532185175412,532185209917
532185208728,532185244624
532185242044,532185275609
532185275360,532185311435
532185308676,532185342451
